id,preferredCategory,preferredCategoryId,updatedAt
cmts3ldnk004wbf8k5s39aql2,Fashion,,2026-09-08 03:16:27.104
cmts3ldnk004zbf8kbd36eqai,F&B,,2026-09-08 03:16:27.105
cmts3ldnk0050bf8kh6vow8ss,F&B,,2026-09-08 03:16:27.104
cmts3ldnl0052bf8k332s3sf1,Fashion,,2026-09-08 03:16:27.104
cmts3ldnl0053bf8kh8kytv20,Entertainment,,2026-09-08 03:16:27.105
cmts3ldnl0054bf8kjkv9g8gl,Health & Beauty,,2026-09-08 03:16:27.105
cmts3ldnl0055bf8kq9j8vtec,F&B,,2026-09-08 03:16:27.104
cmts3ldnl0057bf8kaa9q770p,Technology,,2026-09-08 03:16:27.106
cmts3ldnm0059bf8k28fqmkhx,Health & Beauty,,2026-09-08 03:16:27.106
cmts3ldnm005bbf8ka4071wgf,F&B,,2026-09-08 03:16:27.106
